Source,Target,RelationType,ConfidenceLevel,ReferenceSummary,SourceURL
BA,LMT,Competitor,High,"Boeing and Lockheed Martin often compete for big U.S. defense projects; e.g., Boeing just beat Lockheed for the Air Force’s Next Generation fighter jet contract​reuters.com.",https://www.reuters.com/business/aerospace-defense/trump-awards-boeing-much-needed-win-with-fighter-jet-contract-sources-say-2025-03-21/
BA,LMT,StrategicPartner,High,"Boeing and Lockheed Martin jointly own United Launch Alliance (ULA), a 50–50 rocket-launch venture serving U.S. government space missions​reuters.com.",https://www.reuters.com/business/aerospace-defense/boeing-lockheed-martin-talks-sell-ula-sierra-space-2024-08-16/
XOM,CVX,Competitor,High,Exxon Mobil and Chevron are the two largest U.S. oil companies and longtime rivals in the petroleum industry​reuters.com.,https://www.reuters.com/business/energy/exxon-chevron-ceos-discussed-merger-early-2020-sources-2021-01-31/
XOM,CVX,M&AInvolvement,High,Exxon and Chevron’s CEOs held preliminary merger talks in early 2020 about combining the companies (an idea that did not ultimately proceed)​reuters.com.,https://www.reuters.com/business/energy/exxon-chevron-ceos-discussed-merger-early-2020-sources-2021-01-31/
NEE,DUK,M&AInvolvement,High,"NextEra Energy made an unsolicited takeover approach to Duke Energy in 2020, which Duke rebuffed, though NextEra remained interested​reuters.com.",https://www.reuters.com/article/world/nextera-energy-made-takeover-approach-to-duke-wsj-idUSKBN26L03C/
AMD,INTC,Competitor,High,Intel and AMD have been direct competitors in the microprocessor industry for over 50 years​investopedia.com​investopedia.com.,https://www.investopedia.com/insights/why-amd-intels-only-competitor-intc-amd/
AMD,NVDA,Competitor,High,AMD is regarded as the closest rival to Nvidia in the market for high-end data center and AI chips​reuters.com.,https://www.reuters.com/technology/amd-cut-4-global-workforce-it-focuses-ai-chip-development-2024-11-13/
KO,PEP,Competitor,High,Coca-Cola and PepsiCo have engaged in a legendary rivalry (“Cola Wars”) for over a century as the two global leaders in the beverage industry​marketingdive.com.,https://www.marketingdive.com/news/coke-vs-pepsi-rivalry-brand-marketing-metaverse/621711/
MA,V,Competitor,High,"Mastercard and Visa dominate the payments market, with Visa’s U.S. debit network about three times larger than its nearest competitor, Mastercard​paymentsdive.com.",https://www.paymentsdive.com/news/visa-debit-credit-card-network-stymied-fintech-payments-competition/728033/
BAC,JPM,Competitor,High,Bank of America’s main competitors include JPMorgan Chase – BoA is the second-largest U.S. bank while JPMorgan is the largest​investopedia.com.,https://www.investopedia.com/articles/markets/081415/comparing-cocacola-and-pepsis-business-models.asp (Investopedia)
GS,MS,Competitor,High,"Goldman Sachs and Morgan Stanley have been top rivals on Wall Street for nearly a century, continuing a high-stakes investment banking rivalry​investopedia.com.",https://www.investopedia.com/insights/goldman-sachs-vs-morgan-stanley-comparing-business-models/
CVS,WBA,Competitor,High,"CVS Health and Walgreens Boots Alliance are the two largest U.S. pharmacy chains, often swapping the #1 spot in retail pharmacy market share​medcitynews.com.",https://medcitynews.com/2024/08/who-is-winning-the-retail-pharmacy-consumer-battle/
TGT,WMT,Competitor,High,Target faces a significant competitor in Walmart – one of the world’s largest retailers offering similar products and services to attract customers​businessmodelanalyst.com.,https://businessmodelanalyst.com/target-competitors/
DIS,NFLX,Competitor,High,"Disney and Netflix are direct rivals in the streaming media market, with both vying for subscribers and content dominance​reuters.com.",https://www.reuters.com/breakingviews/its-netflixs-world-rivals-just-stream-it-2023-05-24/
AMZN,WMT,Competitor,High,Amazon and Walmart have an intensifying rivalry as the two largest U.S. retailers; Walmart has been striving to catch up to Amazon in e-commerce​digitalcommerce360.com.,https://www.digitalcommerce360.com/article/amazon-vs-walmart-ecommerce/
AAPL,MSFT,Competitor,High,"Apple and Microsoft have a decades-long rivalry marked by periods of industry dominance, comebacks, and iconic leadership​washingtonpost.com.",https://www.washingtonpost.com/business/economy/microsoft-surges-back--from-2002--to-reclaim-from-apple-bragging-rights-of-most-valuable-us-company/2018/11/30/c4ca4714-f288-11e8-bc79-68604ed88993_story.html
T,VZ,Competitor,High,"AT&T and Verizon have a fierce, long-running rivalry, often trading blows for the top spot in the US telecom market​thebrandhopper.com.",https://thebrandhopper.com/2024/08/26/top-10-att-competitors-telecom-titans/
HD,LOW,Competitor,High,"Home Depot and Lowe’s form a U.S. home-improvement retail duopoly, with Lowe’s now the second-largest after losing the #1 position to Home Depot​fifthperson.com.",https://fifthperson.com/home-depot-lowes/
AMD,MSFT,Supplier→Buyer,High,AMD supplies custom processors (combined CPU/GPU chips) for Microsoft’s Xbox consoles​pcgamer.com​pcgamer.com.,https://www.pcgamer.com/sony-and-microsoft-really-are-propping-up-amds-beleaguered-gpu-business-right-now/
AMD,TSLA,Supplier→Buyer,High,"Tesla has equipped newer Model 3 and Model Y electric cars with AMD’s Ryzen processors for infotainment, replacing its previous Intel chips​notebookcheck.net​notebookcheck.net.",https://www.notebookcheck.net/Tesla-bringing-Cybertruck-UI-to-Model-Y-with-AMD-chip-as-new-Model-3-gets-hands-free-trunk-open.828421.0.html
NVDA,ORCL,Supplier→Buyer,High,"Oracle and Nvidia expanded their partnership, with Oracle adding tens of thousands of Nvidia GPUs to power AI workloads on Oracle Cloud​reuters.com.",https://www.reuters.com/technology/oracle-cloud-adding-tens-thousands-nvidia-chips-ai-2022-10-18/
INTC,AAPL,FormerRelationship,High,Apple used Intel chips in Mac computers for 15 years before ending the partnership in 2020 and transitioning to its own Apple Silicon​russell.co.uk.,https://www.russell.co.uk/RussellThinking/Risk/1561/apple-and-intel-end-15-year-partnership
NFLX,AMZN,Client→Provider,High,"Netflix runs nearly all of its computing and storage on Amazon Web Services – using over 100,000 AWS server instances to stream content globally​aws.amazon.com.",https://aws.amazon.com/solutions/case-studies/netflix-case-study/
WMT,MSFT,StrategicPartner,High,"Walmart signed a 5-year strategic cloud partnership with Microsoft in 2018 to use Azure cloud and AI solutions, aimed partly at countering Amazon​theverge.com.",https://news.microsoft.com/2018/07/17/walmart-establishes-strategic-partnership-with-microsoft-to-further-digital-transformation/
FDX,WBA,StrategicPartner,High,"FedEx and Walgreens entered a long-term alliance to offer FedEx package drop-off and pickup services at ~7,500 Walgreens stores nationwide​walgreensbootsalliance.com.",https://www.walgreensbootsalliance.com/news-media/press-releases/2017/fedex-package-pickup-and-drop-off-now-available-at-more-than-7500-walgreens-locations-in-all-50-states
UPS,CVS,StrategicPartner,High,UPS (via its Flight Forward unit) partnered with CVS Health to develop and launch drone deliveries of prescription drugs to customer homes​supplychaindive.com​supplychaindive.com.,https://www.supplychaindive.com/news/UPS-flight-forward-drone-CVS-Kaiser-Permanente-AmerisourceBergen/565550/
WBA,UNH,StrategicPartner,High,Walgreens and UnitedHealth Group’s UnitedHealthcare unit agreed on a multi-year partnership to open 14 UnitedHealthcare Medicare service centers inside Walgreens stores​drugtopics.com.,https://www.drugtopics.com/view/walgreens-unitedhealth-team-store-centers
CVS,MSFT,StrategicPartner,High,CVS Health and Microsoft formed a strategic alliance in 2021 to use Azure cloud and AI tech as a foundation for CVS’s “digital-first” personalized care strategy​fiercehealthcare.com.,https://www.fiercehealthcare.com/tech/cvs-inks-tech-partnership-microsoft-to-accelerate-its-digital-first-strategy
WBA,MSFT,StrategicPartner,High,Walgreens Boots Alliance and Microsoft announced a seven-year strategic partnership in 2019 to develop new healthcare delivery models and technology solutions in Walgreens stores​walgreensbootsalliance.com.,https://news.microsoft.com/2019/01/15/walgreens-boots-alliance-and-microsoft-establish-strategic-partnership-to-transform-healthcare-delivery/
AMZN,GS,StrategicPartner,High,Amazon partnered with Goldman Sachs to offer up to $1 million credit lines to small businesses selling on Amazon’s platform through Goldman’s Marcus lending arm​pymnts.com.,https://www.pymnts.com/news/partnerships-acquisitions/2020/amazon-goldman-partnership-marcus-fintech/
CVS,TGT,M&AInvolvement,High,"CVS Health acquired Target’s pharmacy and clinic businesses in 2015 for ~$1.9 billion, adding over 1,660 Target in-store pharmacies now operated under the CVS brand​iflr1000.com​iflr1000.com.",https://www.iflr1000.com/Deal/Profile/13377 (IFLR1000 deal profile)
XOM,CVX,M&AInvolvement,Medium,"The CEOs of ExxonMobil and Chevron held preliminary merger discussions in early 2020 amid the pandemic-driven oil slump, though those talks were not ongoing by 2021​theguardian.com​theguardian.com.",https://www.theguardian.com/business/2021/feb/01/exxonmobil-and-chevron-held-merger-talks-in-2020
NEE,DUK,M&AInvolvement,Medium,NextEra Energy made a takeover approach to Duke Energy in 2020 (which Duke rebuffed); NextEra signaled interest in pursuing a potential merger in the future​reuters.com​reuters.com.,https://www.reuters.com/article/worldNews/idUSKBN26L03C (Reuters via WSJ report)
T,MSFT,M&AInvolvement,High,"AT&T agreed to sell its digital ad tech unit Xandr to Microsoft in 2021, an expected divestiture as AT&T refocused away from online advertising​latimes.com.",https://www.latimes.com/entertainment-arts/business/story/2021-12-21/att-sells-xandr-ad-business-to-microsoft-for-1-billion
AAPL,MSFT,Competitor,High,Apple and Microsoft have been competitors in personal computing and operating systems for decades​reuters.com.,https://www.reuters.com/article/apple-streaming-idUSL3N26I2UI
AAPL,GOOGL,Competitor,High,"Apple’s iOS and Google’s Android dominate the mobile OS market, creating a duopoly in smartphones​reuters.com.",https://www.reuters.com/technology/uk-investigate-apple-googles-mobile-ecosystems-2025-01-23/
AAPL,NFLX,Competitor,High,Apple launched Apple TV+ in 2019 to compete with streaming rivals like Netflix​reuters.com.,https://www.reuters.com/article/apple-streaming-idUSL3N26I2UI
AAPL,DIS,Competitor,High,Apple’s streaming service entered the market to compete with Disney’s Disney+ (and Netflix)​reuters.com.,https://www.reuters.com/article/apple-streaming-idUSL3N26I2UI
AAPL,AMZN,Competitor,High,"Apple TV+ and Amazon’s Prime Video are both major streaming platforms, with Apple aiming to challenge Amazon’s digital media presence​reuters.com.",https://www.reuters.com/technology/apple-losing-over-1-billion-year-streaming-service-information-reports-2025-03-20/
MSFT,GOOGL,Competitor,High,"Microsoft and Google are tech giants in direct rivalry across cloud, AI, and productivity software​reuters.com.",https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
MSFT,AMZN,Competitor,High,"Microsoft’s Azure and Amazon’s AWS vie for cloud market leadership, dominating ~75% of the UK cloud market combined​reuters.com.",https://www.reuters.com/technology/uk-media-regulator-asks-probe-into-amazon-microsoft-cloud-dominance-2023-10-05/
MSFT,ORCL,Competitor,Medium,"Microsoft (Azure, SQL Server) and Oracle (Oracle Cloud, Database) compete in enterprise software and cloud services​forbes.com.",https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
ORCL,AMZN,Competitor,High,"Oracle has a “lean and hungry arch-competitor” in Amazon’s AWS, especially in cloud infrastructure​forbes.com.",https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
NVDA,AMD,Competitor,High,Nvidia and AMD are traditional rivals dominating the discrete GPU market​reuters.com.,https://www.reuters.com/technology/nvidia-ceo-defend-ai-dominance-competition-intensifies-2025-03-17/
AMD,INTC,Competitor,High,AMD and Intel have been fierce competitors in the microprocessor industry for over 50 years​investopedia.com.,https://www.investopedia.com/insights/why-amd-intels-only-competitor-intc-amd/
GOOGL,META,Competitor,High,"Google and Meta (Facebook) effectively form a digital advertising duopoly, jointly taking about 60% of US online ad revenue​reuters.com​reuters.com.",https://www.reuters.com/article/technology/google-facebook-show-power-of-ad-duopoly-idUSKBN1AD1ZV/
GOOGL,AMZN,Competitor,High,Google and Amazon are increasingly competing as Amazon’s growing advertising business challenges the Google-Facebook ad duopoly​reuters.com.,https://www.reuters.com/article/technology/amazon-ad-sale-boom-could-challenge-google-facebook-dominance-idUSKBN1HY1GA/
META,AAPL,Competitor,Medium,"Meta’s advertising business has been hurt by Apple’s privacy changes, underscoring the competitive tensions between the two in digital ads​axios.com.",https://www.axios.com/2021/10/26/apples-privacy-changes-eat-rival-businesses
META,MSFT,StrategicPartner,High,"Microsoft and Meta announced a surprise partnership in 2022 to bring Teams, Office and other services to Meta’s VR headsets, combining strengths in the metaverse space​theverge.com.",https://www.theverge.com/2022/10/11/23397251/meta-microsoft-partnership-quest-teams-office-windows-features-vr
NFLX,DIS,Competitor,High,"Netflix and Disney are direct competitors in streaming, with Disney ending its Netflix deal to launch Disney+​cnn.com.",https://www.cnn.com/2019/10/04/media/disney-netflix-ads-ban/index.html
NFLX,AMZN,Competitor,High,Netflix and Amazon Prime Video compete for streaming subscribers as two of the top video platforms.,https://www.reuters.com/article/apple-streaming-idUSL3N26I2UI
T,VZ,Competitor,High,AT&T and Verizon are fierce rivals in the saturated U.S. wireless market​reuters.com.,https://www.reuters.com/business/media-telecom/att-exceeds-wireless-subscriber-estimates-demand-pricey-unlimited-plans-2024-10-23/
JPM,BAC,Competitor,High,JPMorgan Chase and Bank of America are both “Big Four” US banks and primary competitors in banking​investopedia.com.,https://www.investopedia.com/articles/markets/090915/who-are-bank-americas-main-competitors.asp
JPM,GS,Competitor,High,"JPMorgan and Goldman Sachs compete for Wall Street deals and clients, as two leading investment banks​marketing91.com.",https://www.forbes.com/sites/luisromero/2021/02/17/goldman-sachs-and-morgan-stanley-which-bank-is-the-better-bet/
GS,MS,Competitor,High,Goldman Sachs and Morgan Stanley have a long-standing rivalry as top investment banks with differing business models​investopedia.com.,https://www.investopedia.com/insights/goldman-sachs-vs-morgan-stanley-comparing-business-models/
WFC,JPM,Competitor,High,Wells Fargo competes with JPMorgan Chase (and other majors) across consumer and commercial banking services​investopedia.com.,https://www.investopedia.com/articles/markets/090915/who-are-bank-americas-main-competitors.asp
V,MA,Competitor,High,"Visa and MasterCard form a near-duopoly in payments, a dominance often scrutinized by regulators​reuters.com.",https://www.reuters.com/business/finance/visa-falls-report-us-doj-lawsuit-alleging-debit-card-monopoly-2024-09-24/
JNJ,PFE,Competitor,High,Johnson & Johnson and Pfizer are both pharma giants and key competitors in the industry (Pfizer’s largest competitor is J&J)​investopedia.com.,https://www.investopedia.com/ask/answers/052015/who-are-pfizers-pfe-main-competitors.asp
PFE,MRK,Competitor,High,Pfizer and Merck & Co. are major pharmaceutical rivals across multiple therapeutic areas​investopedia.com.,https://www.investopedia.com/ask/answers/052015/who-are-pfizers-pfe-main-competitors.asp
UNH,CVS,Competitor,High,"UnitedHealth Group and CVS Health (via its Aetna unit) are Goliath vs Goliath in healthcare, each expanding into the other’s territory​startribune.com​startribune.com.",https://www.startribune.com/unitedhealth-and-cvs-the-unexpected-goliath-vs-goliath-battle/600241535/
CVS,WBA,Competitor,High,"CVS and Walgreens Boots Alliance are archrivals, often literally operating stores next door to each other as they vie for U.S. pharmacy market share​npr.org.",https://www.npr.org/2023/10/18/1206750386/walgreens-cvs-pharmacy-closures-layoffs
AMZN,WMT,Competitor,High,"Amazon and Walmart are battling for retail leadership, with Walmart “aiming to take on Amazon” in e-commerce and advertising​reuters.com.",https://www.reuters.com/business/retail-consumer/how-pandemic-helped-walmart-battle-amazon-marketplace-sellers-2021-04-14/
WMT,TGT,Competitor,High,"Walmart and Target are both major U.S. retailers, and Walmart is a significant competitor to Target, offering similar products and services​businessmodelanalyst.com.",https://businessmodelanalyst.com/target-competitors-alternatives/
WMT,COST,Competitor,High,Walmart (via its Sam’s Club division) is one of Costco’s leading competitors in the membership warehouse club segment​businessmodelanalyst.com.,https://businessmodelanalyst.com/costco-competitors-alternatives/
HD,LOW,Competitor,High,"Home Depot and Lowe’s effectively form a home improvement duopoly, “competing for the same customers” in that market​investopedia.com.",https://www.investopedia.com/articles/investing/052914/home-depot-vs-lowes.asp
TSLA,GM,Competitor,High,"Tesla remains the largest EV player (~44% US share) while General Motors, at ~12%, is the second-largest – highlighting their EV market competition​finance.yahoo.com.",https://finance.yahoo.com/news/tesla-faces-challenges-gm-gains-ground-120046049.html
TSLA,F,Competitor,High,"Tesla’s dominance in electric vehicles is challenged by Ford, which is fighting for second place in US EV sales alongside GM and others​caredge.com.",https://caredge.com/blog/electric-vehicle-market-share-US
KO,PEP,Competitor,High,"Coca-Cola and PepsiCo are arch-rivals in the global soda market, with Coke recently gaining market share over its “arch rival” Pepsi​reuters.com.",https://www.reuters.com/article/cocacola-results-idUSKBN1X91XL
FDX,UPS,Competitor,High,"FedEx and UPS are direct competitors in parcel delivery, with FedEx even losing a major USPS contract to “archrival UPS”​cbinsights.com.",https://www.cbinsights.com/research/fedex-lost-deal-ups/
BA,LMT,Competitor,High,"Boeing and Lockheed Martin often compete for defense contracts – e.g., Boeing just beat out Lockheed to win the Air Force’s next-gen fighter deal​reuters.com.",https://www.reuters.com/business/aerospace-defense/trump-awards-boeing-much-needed-win-with-fighter-jet-contract-sources-say-2025-03-21/
XOM,CVX,Competitor,High,ExxonMobil and Chevron have a long-standing rivalry as the two largest U.S. oil producers​energynow.com.,https://energynow.com/2023/09/exxon-and-chevron-offer-wall-street-opposing-visions/
PG,WMT,Supplier→Buyer,High,Procter & Gamble is a major supplier to Walmart – sales to Walmart account for about 15% of P&G’s total revenue​opportimes.com.,https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
AMD,MSFT,Supplier→Buyer,High,AMD supplies custom chips to Microsoft for products like the Xbox gaming console​forbes.com.,https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
AMD,AMZN,Supplier→Buyer,High,"Amazon’s AWS uses AMD’s EPYC processors for certain cloud computing instances, reflecting a supplier–buyer relationship​forbes.com.",https://www.forbes.com/sites/greatspeculations/2019/09/18/larry-ellisons-biggest-battle-amazon-microsoft-and-sap-grabbing-cloud/
INTC,AAPL,Supplier→Buyer,High,Intel was a key chip supplier to Apple for years – Apple’s Mac computers used Intel processors until Apple’s recent shift to in-house chips​cnbc.com.,https://www.cnbc.com/2019/07/25/apple-spends-1-billion-to-buy-intels-smartphone-modem-business.html
NVDA,MSFT,Supplier→Buyer,High,Microsoft buys NVIDIA’s GPUs to power Azure’s AI and graphics workloads – a key supplier relationship in cloud computing​reuters.com.,https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
NVDA,AMZN,Supplier→Buyer,High,"Amazon Web Services offers cloud instances with NVIDIA GPUs, making NVIDIA a hardware supplier for Amazon’s cloud services​reuters.com.",https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
NVDA,META,Supplier→Buyer,High,Meta (Facebook) purchases NVIDIA’s GPU chips for AI training and data center tasks​reuters.com.,https://www.reuters.com/technology/microsoft-singles-out-googles-competitive-edge-generative-ai-2024-03-14/
INTC,AAPL,M&AInvolvement,High,"In 2019, Apple acquired Intel’s smartphone modem business for $1 billion, bringing thousands of Intel employees to Apple​cnbc.com.",https://www.cnbc.com/2019/07/25/apple-spends-1-billion-to-buy-intels-smartphone-modem-business.html
WMT,MSFT,StrategicPartner,High,"In 2020, Walmart teamed up with Microsoft in a joint bid to acquire TikTok’s US operations​npr.org.",https://www.npr.org/2020/08/27/906724560/walmart-joins-microsoft-in-a-bid-to-buy-tiktok
T,MSFT,StrategicPartner,High,AT&T agreed to run its 5G mobile network on Microsoft’s Azure cloud – a strategic alliance to move AT&T’s 5G core to Azure​about.att.com.,https://about.att.com/story/2021/att_microsoft_5g.html
VZ,AMZN,StrategicPartner,High,"Verizon and AWS have partnered to embed AWS Wavelength cloud servers at Verizon’s 5G network edge, enabling ultra-low-latency mobile applications​datacenterdynamics.com.",https://www.datacenterdynamics.com/en/news/aws-has-launched-new-wavelength-zones-in-chicago-houston-and-phoenix-on-verizons-5g-network/
MS,MSFT,StrategicPartner,High,Morgan Stanley entered a strategic cloud partnership with Microsoft Azure to accelerate the bank’s digital transformation​news.microsoft.com.,https://news.microsoft.com/2021/06/02/morgan-stanley-and-microsoft-collaborate-to-accelerate-cloud-transformation/
GS,AMZN,StrategicPartner,High,Goldman Sachs partnered with Amazon Web Services to launch a cloud-based financial data analytics platform for institutional clients​fintechfutures.com.,https://www.cnbc.com/2021/11/03/goldman-sachs-unveils-amazon-backed-cloud-service-for-wall-street-.html
AMT,T,Supplier→Buyer,High,"American Tower leases its cellular tower infrastructure to AT&T, making AT&T a major buyer (tenant) of American Tower’s services​s1.q4cdn.com.",https://s1.q4cdn.com/806093406/files/doc_financials/2023/ar/2023-Annual-Report.pdf
AMT,VZ,Supplier→Buyer,High,"Verizon is a key tenant of American Tower, which provides the cell tower space Verizon needs for its wireless network​s1.q4cdn.com.",https://s1.q4cdn.com/806093406/files/doc_financials/2023/ar/2023-Annual-Report.pdf
PLD,AMZN,Supplier→Buyer,High,"Prologis, a warehouse REIT, counts Amazon as its largest tenant, leasing distribution center space to support Amazon’s e-commerce operations​opportimes.com.",https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
PLD,FDX,Supplier→Buyer,Medium,"FedEx leases significant logistics and warehouse facilities from Prologis, which provides the industrial real estate for FedEx’s distribution hubs (as noted in industry reports)​opportimes.com.",https://www.opportimes.com/walmart-sells-15-of-procter-gambles-products/
CAT,FCX,StrategicPartner,High,Caterpillar and Freeport-McMoRan formed a partnership to retrofit 33 haul trucks at Freeport’s Bagdad copper mine with autonomous driving technology​investors.caterpillar.com.,https://investors.caterpillar.com/news-releases/news-release-details/freeport-mcmoran-convert-fleet-catR-793-trucks-its-bagdad
